Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,52.549999,58.580002,51.619999,54.000000,53.739376,647600
2021-02-01,55.250000,59.610001,53.930000,54.400002,54.137444,416500
2021-03-01,55.049999,59.189999,54.040001,57.650002,57.371761,514800
2021-04-01,58.000000,59.750000,55.509998,55.570000,55.301796,516800
2021-05-01,55.950001,59.389999,53.299999,59.250000,58.964035,439000
2021-06-01,60.459999,62.799999,59.820000,60.560001,60.267715,431200
2021-07-01,60.590000,61.389999,56.000000,60.799999,60.711235,343400
2021-08-01,61.459999,62.090000,55.790001,59.470001,59.383179,369200
2021-09-01,59.070000,60.310001,56.000000,58.330002,58.244843,267900
2021-10-01,58.240002,64.830002,55.770000,63.709999,63.709999,374600
