Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,8.810000,12.150000,8.430000,10.530000,10.477244,1923473000
2021-02-01,10.650000,12.400000,10.360000,11.700000,11.641383,1454667900
2021-03-01,11.870000,13.620000,11.630000,12.250000,12.188627,1683492600
2021-04-01,12.280000,12.990000,11.140000,11.540000,11.482184,1329294700
2021-05-01,11.560000,15.050000,11.230000,14.530000,14.457204,1943954700
2021-06-01,14.720000,16.450001,14.440000,14.860000,14.785551,1924494500
2021-07-01,14.910000,15.040000,12.790000,13.950000,13.880110,1242352300
2021-08-01,14.020000,14.330000,12.380000,13.030000,12.964720,1157729200
2021-09-01,13.030000,14.730000,12.620000,14.160000,14.089058,1411713400
2021-10-01,14.260000,17.580000,13.890000,17.080000,16.994429,1668166000
