Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,41.950001,56.970001,40.040001,50.680000,50.680000,628836300
2021-02-01,51.459999,57.049999,49.349998,51.330002,51.330002,419120700
2021-03-01,52.410000,62.240002,50.250000,57.459999,57.459999,516563500
2021-04-01,57.919998,63.439999,54.709999,57.220001,57.220001,343319800
2021-05-01,57.599998,60.720001,53.520000,59.310001,59.310001,324490400
2021-06-01,59.990002,64.300003,58.410000,59.169998,59.169998,356983500
2021-07-01,59.439999,59.730000,52.630001,56.840000,56.840000,290430200
2021-08-01,57.369999,58.599998,47.070000,49.009998,49.009998,431226800
2021-09-01,49.099998,54.209999,47.799999,52.709999,52.709999,332633900
2021-10-01,53.029999,59.349998,52.250000,54.430000,54.430000,402136800
