Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,15.590000,15.650000,14.300000,14.710000,10.764281,596890300
2015-02-01,14.750000,16.620001,14.740000,16.340000,12.079073,524690500
2015-03-01,16.340000,16.740000,15.690000,16.139999,11.931224,609978100
2015-04-01,16.160000,16.160000,15.700000,15.800000,11.679885,539789600
2015-05-01,15.900000,15.940000,15.140000,15.170000,11.319895,428759700
2015-06-01,15.330000,15.660000,14.780000,15.010000,11.200505,578382200
2015-07-01,15.140000,15.300000,14.230000,14.830000,11.066189,672444200
2015-08-01,14.970000,15.040000,10.440000,13.870000,10.455586,596466400
2015-09-01,13.950000,14.880000,13.010000,13.570000,10.229438,744638400
2015-10-01,13.760000,15.840000,13.420000,14.810000,11.164186,668696500
2015-11-01,14.790000,14.900000,13.850000,14.330000,10.912277,443767100
2015-12-01,14.320000,14.620000,13.400000,14.090000,10.729518,587975700
2016-01-01,13.870000,14.000000,11.200000,11.940000,9.092295,1087624700
2016-02-01,11.920000,12.650000,11.020000,12.510000,9.847645,795878200
2016-03-01,13.010000,13.860000,12.720000,13.500000,10.626952,723070900
2016-04-01,13.280000,14.220000,12.390000,13.560000,10.674186,736240700
2016-05-01,13.670000,13.790000,13.020000,13.490000,10.736203,543642100
2016-06-01,13.430000,13.550000,12.000000,12.570000,10.004009,778155400
2016-07-01,12.880000,14.040000,12.210000,12.660000,10.075635,756186500
2016-08-01,12.610000,12.620000,11.900000,12.600000,10.137840,726884900
2016-09-01,12.660000,12.770000,11.930000,12.070000,9.711405,746043700
2016-10-01,12.060000,12.530000,11.600000,11.740000,9.445890,657689600
2016-11-01,11.780000,12.500000,11.070000,11.960000,9.742787,736856500
2016-12-01,12.230000,13.200000,12.080000,12.130000,9.881271,709201400
2017-01-01,12.200000,13.270000,12.130000,12.360000,10.068631,879509200
2017-02-01,12.450000,12.770000,12.220000,12.530000,10.371615,586173700
2017-03-01,12.660000,12.750000,11.410000,11.640000,9.634926,952495700
2017-04-01,11.640000,11.700000,11.080000,11.470000,9.494208,779918200
2017-05-01,11.490000,11.540000,10.670000,11.120000,9.328549,932923800
2017-06-01,11.250000,11.540000,10.910000,11.190000,9.387271,850617600
2017-07-01,11.360000,11.830000,10.950000,11.220000,9.412438,697037000
2017-08-01,11.110000,11.200000,10.470000,11.030000,9.371879,760514500
2017-09-01,11.180000,12.060000,11.140000,11.970000,10.170571,682274700
2017-10-01,12.000000,12.460000,11.870000,12.270000,10.425473,874278600
2017-11-01,12.400000,12.650000,11.870000,12.520000,10.769984,701585400
2017-12-01,12.620000,12.810000,12.280000,12.490000,10.744176,597327400
2018-01-01,12.520000,13.480000,10.900000,10.970000,9.436640,1142142300
2018-02-01,10.950000,11.040000,10.190000,10.610000,9.351721,970377300
2018-03-01,10.650000,11.440000,10.140000,11.080000,9.765981,1007233600
2018-04-01,11.060000,11.730000,10.700000,11.240000,9.907007,882033000
2018-05-01,11.250000,11.740000,10.970000,11.550000,10.316830,701227100
2018-06-01,11.670000,12.150000,11.030000,11.070000,9.888077,762713500
2018-07-01,11.020000,11.260000,9.840000,10.040000,8.968049,851569700
2018-08-01,10.060000,10.100000,9.350000,9.480000,8.586880,858463900
2018-09-01,9.530000,9.940000,9.090000,9.250000,8.378550,803729200
2018-10-01,9.430000,9.670000,8.170000,9.550000,8.650288,1300409700
2018-11-01,9.540000,9.800000,8.960000,9.410000,8.676593,873823100
2018-12-01,9.710000,9.850000,7.410000,7.650000,7.053765,956262400
2019-01-01,7.530000,9.060000,7.480000,8.800000,8.114136,1004292300
2019-02-01,8.770000,8.980000,8.160000,8.770000,8.227353,730016300
2019-03-01,8.850000,8.970000,8.340000,8.780000,8.236732,944056400
2019-04-01,8.860000,10.500000,8.860000,10.450000,9.803403,938067400
2019-05-01,10.480000,10.500000,9.320000,9.520000,9.074224,800091600
2019-06-01,9.620000,10.310000,9.460000,10.230000,9.750977,627584700
2019-07-01,10.340000,10.560000,9.400000,9.530000,9.083754,891313400
2019-08-01,9.530000,9.620000,8.700000,9.170000,8.871069,749401800
2019-09-01,9.180000,9.650000,9.040000,9.160000,8.861395,659445200
2019-10-01,9.190000,9.320000,8.440000,8.590000,8.309977,888712200
2019-11-01,8.640000,9.150000,8.640000,9.060000,8.908496,669268700
2019-12-01,9.080000,9.570000,8.800000,9.300000,9.144482,746135500
2020-01-01,9.290000,9.420000,8.730000,8.820000,8.672508,1088852400
2020-02-01,8.850000,9.240000,6.670000,6.960000,6.960000,1639965500
2020-03-01,7.110000,7.340000,3.960000,4.830000,4.830000,2622835900
2020-04-01,4.630000,5.750000,4.170000,5.090000,5.090000,1954784400
2020-05-01,5.020000,6.090000,4.520000,5.710000,5.710000,1805254600
2020-06-01,5.730000,7.740000,5.670000,6.080000,6.080000,2162095800
2020-07-01,6.100000,7.060000,5.740000,6.610000,6.610000,1641503600
2020-08-01,6.650000,7.380000,6.530000,6.820000,6.820000,1114124800
2020-09-01,6.770000,7.400000,6.410000,6.660000,6.660000,1285238800
2020-10-01,6.710000,8.350000,6.600000,7.730000,7.730000,1420926300
2020-11-01,7.830000,9.500000,7.630000,9.080000,9.080000,1434081400
2020-12-01,9.160000,9.490000,8.750000,8.790000,8.790000,1237449300
