Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,29.670000,31.400000,28.610001,30.219999,30.219999,24424100
2015-02-01,31.350000,33.720001,30.910000,33.139999,33.139999,17296100
2015-03-01,33.080002,34.619999,32.599998,32.759998,32.759998,18895900
2015-04-01,32.689999,36.439999,32.419998,33.529999,33.529999,17554600
2015-05-01,34.099998,35.400002,33.599998,34.220001,34.220001,16429800
2015-06-01,34.340000,34.610001,32.000000,32.400002,32.400002,11551700
2015-07-01,32.070000,34.419998,30.889999,33.959999,33.959999,11631900
2015-08-01,34.799999,35.990002,29.000000,31.480000,31.480000,17805100
2015-09-01,30.230000,32.310001,29.280001,29.900000,29.900000,9779700
2015-10-01,30.000000,33.869999,29.750000,33.130001,33.130001,10127900
2015-11-01,33.029999,33.470001,32.020000,32.680000,32.680000,9309300
2015-12-01,33.180000,33.419998,31.180000,31.930000,31.930000,10744900
2016-01-01,30.860001,31.000000,26.410000,27.020000,27.020000,17342400
2016-02-01,27.620001,27.930000,24.559999,25.709999,25.709999,15811300
2016-03-01,26.040001,28.260000,25.990000,27.340000,27.340000,12791500
2016-04-01,26.340000,28.740000,25.530001,26.959999,26.959999,15621900
2016-05-01,27.100000,28.260000,26.230000,27.980000,27.980000,19336800
2016-06-01,27.809999,27.809999,24.520000,25.330000,25.330000,20263100
2016-07-01,25.110001,27.360001,24.030001,27.120001,27.120001,17499800
2016-08-01,27.120001,31.059999,27.120001,30.809999,30.809999,14550000
2016-09-01,30.969999,31.180000,28.620001,28.920000,28.920000,16753900
2016-10-01,28.959999,30.500000,28.900000,29.830000,29.830000,14958100
2016-11-01,29.400000,29.799999,27.510000,29.740000,29.740000,13477200
2016-12-01,29.610001,30.660000,29.090000,29.190001,29.190001,13247600
2017-01-01,29.480000,30.969999,29.420000,29.719999,29.719999,14255500
2017-02-01,30.230000,32.169998,29.889999,30.969999,30.969999,18722500
2017-03-01,31.260000,31.440001,30.180000,30.260000,30.260000,11365800
2017-04-01,30.200001,30.209999,28.160000,29.100000,29.100000,15320900
2017-05-01,28.980000,29.170000,27.360001,27.930000,27.930000,20997500
2017-06-01,28.040001,28.730000,27.070000,27.389999,27.389999,16937900
2017-07-01,27.480000,28.129999,27.049999,28.020000,28.020000,10190400
2017-08-01,28.799999,28.950001,27.360001,28.100000,28.100000,11269100
2017-09-01,28.190001,30.040001,27.910000,29.559999,29.559999,7893100
2017-10-01,29.559999,31.150000,29.559999,31.090000,31.090000,9730200
2017-11-01,31.709999,33.750000,31.580000,33.340000,33.340000,18351600
2017-12-01,33.400002,34.450001,33.040001,34.080002,34.080002,8991200
2018-01-01,34.310001,36.520000,34.090000,35.290001,35.290001,11352200
2018-02-01,35.099998,37.290001,33.849998,36.090000,36.090000,20936900
2018-03-01,35.939999,36.009998,32.860001,34.730000,34.730000,15582600
2018-04-01,34.380001,35.439999,33.779999,34.360001,34.360001,12147900
2018-05-01,34.000000,34.049999,31.370001,31.760000,31.760000,13992200
2018-06-01,31.889999,32.759998,29.110001,29.270000,29.270000,10029400
2018-07-01,28.860001,30.889999,28.770000,30.660000,30.660000,10811400
2018-08-01,30.850000,30.950001,29.200001,29.629999,29.629999,12236100
2018-09-01,29.100000,31.040001,28.000000,30.080000,30.080000,10456200
2018-10-01,30.379999,30.570000,26.040001,28.500000,28.500000,22223800
2018-11-01,28.650000,29.320000,27.520000,28.170000,28.170000,16307900
2018-12-01,28.719999,28.780001,25.299999,26.450001,26.450001,18690300
2019-01-01,26.110001,30.120001,26.010000,30.070000,30.070000,15281400
2019-02-01,29.340000,29.700001,26.480000,28.270000,28.270000,13247200
2019-03-01,28.410000,28.459999,26.809999,27.170000,27.170000,9268500
2019-04-01,27.700001,28.980000,27.570000,27.889999,27.889999,8638100
2019-05-01,27.950001,28.020000,24.430000,24.610001,24.610001,15120400
2019-06-01,24.639999,26.090000,24.639999,25.840000,25.840000,11482400
2019-07-01,26.290001,26.600000,24.770000,24.879999,24.879999,10937100
2019-08-01,25.120001,25.230000,22.870001,23.660000,23.660000,15816900
2019-09-01,24.020000,27.139999,23.969999,26.080000,26.080000,16286800
2019-10-01,26.549999,27.530001,25.150000,26.969999,26.969999,16926100
2019-11-01,27.340000,29.440001,27.330000,28.120001,28.120001,12442600
2019-12-01,28.230000,29.389999,27.860001,28.309999,28.309999,9814400
2020-01-01,28.600000,28.650000,25.520000,25.600000,25.600000,10221700
2020-02-01,25.860001,27.379999,25.059999,25.660000,25.660000,13175400
2020-03-01,25.549999,26.270000,19.379999,22.459999,22.459999,31533600
2020-04-01,21.190001,24.420000,19.750000,24.049999,24.049999,20998600
2020-05-01,22.920000,27.080000,22.040001,26.049999,26.049999,23644500
2020-06-01,26.000000,28.379999,25.200001,25.559999,25.559999,17587100
2020-07-01,25.180000,26.629999,24.150000,24.350000,24.350000,13222800
2020-08-01,24.620001,26.170000,24.139999,25.580000,25.580000,14964700
2020-09-01,25.410000,26.110001,23.100000,23.700001,23.700001,14906400
2020-10-01,23.639999,24.950001,23.230000,23.620001,23.620001,10863000
2020-11-01,24.260000,29.799999,24.170000,27.719999,27.719999,14575300
2020-12-01,27.879999,30.209999,27.860001,28.250000,28.250000,12919100
