DATE,PCU3313153313150
2021-01-01,191.4
2021-02-01,194.6
2021-03-01,197.8
2021-04-01,209.5
2021-05-01,214.8
2021-06-01,224.0
2021-07-01,228.5
2021-08-01,235.7
2021-09-01,245.3
2021-10-01,244.0
